k,alpha,isoId,classification
7,0.000,PH-021,Cow
8,0.000,PH-021,Cow
1,0.500,PH-021,null
2,0.500,PH-021,Cow
3,0.500,PH-021,Cow
4,0.500,PH-021,Cow
5,0.500,PH-021,Cow
6,0.500,PH-021,Cow
7,0.500,PH-021,Cow
8,0.500,PH-021,Cow
1,0.900,PH-021,null
2,0.900,PH-021,null
3,0.900,PH-021,null
4,0.900,PH-021,null
5,0.900,PH-021,null
6,0.900,PH-021,null
7,0.900,PH-021,null
8,0.900,PH-021,null
1,0.950,PH-021,null
2,0.950,PH-021,null
3,0.950,PH-021,null
4,0.950,PH-021,null
5,0.950,PH-021,null
6,0.950,PH-021,null
7,0.950,PH-021,null
8,0.950,PH-021,null
1,0.980,PH-021,null
2,0.980,PH-021,null
3,0.980,PH-021,null
4,0.980,PH-021,null
5,0.980,PH-021,null
6,0.980,PH-021,null
7,0.980,PH-021,null
8,0.980,PH-021,null
1,0.990,PH-021,null
2,0.990,PH-021,null
3,0.990,PH-021,null
4,0.990,PH-021,null
5,0.990,PH-021,null
6,0.990,PH-021,null
7,0.990,PH-021,null
8,0.990,PH-021,null
1,0.000,PH-020,null
2,0.000,PH-020,Cow
3,0.000,PH-020,Cow
4,0.000,PH-020,Cow
5,0.000,PH-020,Cow
6,0.000,PH-020,Cow
7,0.000,PH-020,Cow
8,0.000,PH-020,Cow
1,0.500,PH-020,null
2,0.500,PH-020,Cow
3,0.500,PH-020,Cow
4,0.500,PH-020,Cow
5,0.500,PH-020,Cow
6,0.500,PH-020,Cow
7,0.500,PH-020,Cow
8,0.500,PH-020,Cow
1,0.900,PH-020,null
2,0.900,PH-020,null
3,0.900,PH-020,null
4,0.900,PH-020,null
5,0.900,PH-020,null
6,0.900,PH-020,null
7,0.900,PH-020,null
8,0.900,PH-020,null
1,0.950,PH-020,null
2,0.950,PH-020,null
3,0.950,PH-020,null
4,0.950,PH-020,null
5,0.950,PH-020,null
6,0.950,PH-020,null
7,0.950,PH-020,null
8,0.950,PH-020,null
1,0.980,PH-020,null
2,0.980,PH-020,null
3,0.980,PH-020,null
4,0.980,PH-020,null
5,0.980,PH-020,null
6,0.980,PH-020,null
7,0.980,PH-020,null
8,0.980,PH-020,null
1,0.990,PH-020,null
2,0.990,PH-020,null
3,0.990,PH-020,null
4,0.990,PH-020,null
5,0.990,PH-020,null
6,0.990,PH-020,null
7,0.990,PH-020,null
8,0.990,PH-020,null
1,0.000,PH-029,null
2,0.000,PH-029,Cow
3,0.000,PH-029,Cow
4,0.000,PH-029,Cow
5,0.000,PH-029,Cow
6,0.000,PH-029,Cow
7,0.000,PH-029,Cow
8,0.000,PH-029,Cow
1,0.500,PH-029,null
2,0.500,PH-029,Cow
3,0.500,PH-029,Cow
4,0.500,PH-029,Cow
5,0.500,PH-029,Cow
6,0.500,PH-029,Cow
7,0.500,PH-029,Cow
8,0.500,PH-029,Cow
1,0.900,PH-029,null
2,0.900,PH-029,null
3,0.900,PH-029,null
4,0.900,PH-029,null
5,0.900,PH-029,null
6,0.900,PH-029,null
7,0.900,PH-029,null
8,0.900,PH-029,null
1,0.950,PH-029,null
2,0.950,PH-029,null
3,0.950,PH-029,null
4,0.950,PH-029,null
5,0.950,PH-029,null
6,0.950,PH-029,null
7,0.950,PH-029,null
8,0.950,PH-029,null
1,0.980,PH-029,null
2,0.980,PH-029,null
3,0.980,PH-029,null
4,0.980,PH-029,null
5,0.980,PH-029,null
6,0.980,PH-029,null
7,0.980,PH-029,null
8,0.980,PH-029,null
1,0.990,PH-029,null
2,0.990,PH-029,null
3,0.990,PH-029,null
4,0.990,PH-029,null
5,0.990,PH-029,null
6,0.990,PH-029,null
7,0.990,PH-029,null
8,0.990,PH-029,null
1,0.000,PH-028,null
2,0.000,PH-028,Cow
