k,alpha,unknownId,classification,pearson,isoId,species
7,0.500,PH-6,Cow(7)(4.000000),0.992,Pp-057,Hu
7,0.500,PH-6,Cow(7)(4.000000),0.979,Cw-385,Cow
7,0.500,PH-6,Cow(7)(4.000000),0.992,Pp-042,Hu
7,0.500,PH-6,Cow(7)(4.000000),0.976,Cw-1424,Cow
7,0.500,PH-6,Cow(7)(4.000000),0.992,Pp-045,Hu
7,0.500,PH-6,Cow(7)(4.000000),0.976,Cw-455,Cow
7,0.500,PH-6,Cow(7)(4.000000),0.991,Pp-031,Hu
7,0.500,PH-6,Cow(7)(4.000000),0.975,Cw-100,Cow
7,0.500,PH-6,Cow(7)(4.000000),0.991,Pp-034,Hu
7,0.500,PH-6,Cow(7)(4.000000),0.975,Cw-1440,Cow
7,0.500,PH-6,Cow(7)(4.000000),0.991,Pp-051,Hu
7,0.500,PH-6,Cow(7)(4.000000),0.973,Cw-456,Cow
7,0.500,PH-6,Cow(7)(4.000000),0.991,Pp-033,Hu
7,0.500,PH-6,Cow(7)(4.000000),0.973,Cw-786,Cow
