k,alpha,unknownId,classification,pearson,isoId,species
6,0.900,PH-019,Cow(5)(3.000000),0.994,Cw-1271,Cow
6,0.900,PH-019,Cow(5)(3.000000),0.992,Cw-1593,Cow
6,0.900,PH-019,Cow(5)(3.000000),0.992,Hu-2006,Human
6,0.900,PH-019,Cow(5)(3.000000),0.991,Pg-078,Pigeon
6,0.900,PH-019,Cow(5)(3.000000),0.992,Cw-1327,Cow
6,0.900,PH-019,Cow(5)(3.000000),0.990,Ho-010,Horse
6,0.900,PH-019,Cow(5)(3.000000),0.992,Cw-1277,Cow
6,0.900,PH-019,Cow(5)(3.000000),0.990,Pp-126,Cw
6,0.900,PH-019,Cow(5)(3.000000),0.992,Hu-2003,Human
6,0.900,PH-019,Cow(5)(3.000000),0.990,Pg-075,Pigeon
6,0.900,PH-019,Cow(5)(3.000000),0.991,Hu-2002,Human
6,0.900,PH-019,Cow(5)(3.000000),0.990,Cw-1053,Cow
