k,alpha,unknownId,classification,pearson,isoId,species
8,0.500,PH-4,Cow(5)(4.800000),0.996,Pg-078,Pigeon
8,0.500,PH-4,Cow(5)(4.800000),0.978,Cw-1271,Cow
8,0.500,PH-4,Cow(5)(4.800000),0.995,Pg-075,Pigeon
8,0.500,PH-4,Cow(5)(4.800000),0.974,Hu-2006,Human
8,0.500,PH-4,Cow(5)(4.800000),0.995,Pg-076,Pigeon
8,0.500,PH-4,Cow(5)(4.800000),0.974,Cw-1327,Cow
8,0.500,PH-4,Cow(5)(4.800000),0.994,Pg-077,Pigeon
8,0.500,PH-4,Cow(5)(4.800000),0.994,Cw-1593,Cow
8,0.500,PH-4,Cow(5)(4.800000),0.973,Hu-2003,Human
8,0.500,PH-4,Cow(5)(4.800000),0.994,Ho-010,Horse
8,0.500,PH-4,Cow(5)(4.800000),0.973,Ho-017,Horse
8,0.500,PH-4,Cow(5)(4.800000),0.994,Cw-1282,Cow
8,0.500,PH-4,Cow(5)(4.800000),0.971,Hu-1994,Human
8,0.500,PH-4,Cow(5)(4.800000),0.994,Cw-1277,Cow
8,0.500,PH-4,Cow(5)(4.800000),0.971,Hu-2002,Human
