k,alpha,unknownId,classification,pearson,isoId,species
7,0.000,PH-012,Human UTI(3)(3.000000),0.987,Cw-1311,Cow
7,0.000,PH-012,Human UTI(3)(3.000000),0.978,Hu-1883,Human UTI
7,0.000,PH-012,Human UTI(3)(3.000000),0.987,Pp-099,Hu and Cw
7,0.000,PH-012,Human UTI(3)(3.000000),0.977,Hu-1884,Human UTI
7,0.000,PH-012,Human UTI(3)(3.000000),0.986,Rt-156,Ground Squirrel
7,0.000,PH-012,Human UTI(3)(3.000000),0.977,Hu-1574,Human
7,0.000,PH-012,Human UTI(3)(3.000000),0.985,Cw-1730,Cow
7,0.000,PH-012,Human UTI(3)(3.000000),0.976,Hu-1575,Human
7,0.000,PH-012,Human UTI(3)(3.000000),0.985,Pp-141,Cw
7,0.000,PH-012,Human UTI(3)(3.000000),0.975,Ho-049,Horse
7,0.000,PH-012,Human UTI(3)(3.000000),0.985,Rt-153,Ground Squirrel
7,0.000,PH-012,Human UTI(3)(3.000000),0.975,Hu-1821,Human UTI
7,0.000,PH-012,Human UTI(3)(3.000000),0.985,Ho-017,Horse
7,0.000,PH-012,Human UTI(3)(3.000000),0.975,Cw-1196,Cow
