k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%)
1,0.000,Chicken,16-23,22,29,0,51,43.137,43.137
1,0.000,Chicken,23-5,28,11,0,39,71.795,71.795
1,0.000,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.000,Sea Lion,23-5,4,3,0,7,57.143,57.143
1,0.000,Hu and Cw,16-23,15,26,0,41,36.585,36.585
1,0.000,Hu and Cw,23-5,15,33,0,48,31.250,31.250
1,0.000,Sheep,16-23,78,64,0,142,54.930,54.930
1,0.000,Sheep,23-5,78,32,0,110,70.909,70.909
1,0.000,Hu and Dg,16-23,16,24,0,40,40.000,40.000
1,0.000,Hu and Dg,23-5,20,15,0,35,57.143,57.143
1,0.000,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.000,Common Loon,23-5,0,4,0,4,0.000,0.000
1,0.000,Red-Winged Blackbird,16-23,2,5,0,7,28.571,28.571
1,0.000,Red-Winged Blackbird,23-5,2,4,0,6,33.333,33.333
1,0.000,Cw,16-23,17,25,0,42,40.476,40.476
1,0.000,Cw,23-5,31,55,0,86,36.047,36.047
1,0.000,Cliff Sparrow,16-23,16,29,0,45,35.556,35.556
1,0.000,Cliff Sparrow,23-5,10,34,0,44,22.727,22.727
1,0.000,Pig,16-23,23,16,0,39,58.974,58.974
1,0.000,Pig,23-5,20,18,0,38,52.632,52.632
1,0.000,Barn Owl,16-23,0,0,0,0,NaN,NaN
1,0.000,Barn Owl,23-5,2,6,0,8,25.000,25.000
1,0.000,Wild Pig,16-23,5,8,0,13,38.462,38.462
1,0.000,Wild Pig,23-5,7,6,0,13,53.846,53.846
1,0.000,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.000,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN
1,0.000,Guinni,16-23,0,0,0,0,NaN,NaN
1,0.000,Guinni,23-5,0,2,0,2,0.000,0.000
1,0.000,Racoon,16-23,2,3,0,5,40.000,40.000
1,0.000,Racoon,23-5,0,4,0,4,0.000,0.000
1,0.000,Hu,16-23,27,9,0,36,75.000,75.000
1,0.000,Hu,23-5,25,13,0,38,65.789,65.789
1,0.000,Cw and Dg,16-23,15,21,0,36,41.667,41.667
1,0.000,Cw and Dg,23-5,19,29,0,48,39.583,39.583
1,0.000,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN
1,0.000,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000
1,0.000,Tree Swallow,16-23,2,6,0,8,25.000,25.000
1,0.000,Tree Swallow,23-5,2,1,0,3,66.667,66.667
1,0.000,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
1,0.000,Turkey Vulture,23-5,0,2,0,2,0.000,0.000
1,0.000,Dg,16-23,11,16,0,27,40.741,40.741
1,0.000,Dg,23-5,27,10,0,37,72.973,72.973
1,0.000,Western Kingbird,16-23,0,3,0,3,0.000,0.000
1,0.000,Western Kingbird,23-5,0,0,0,0,NaN,NaN
1,0.000,White Crowned Sparrow,16-23,13,5,0,18,72.222,72.222
1,0.000,White Crowned Sparrow,23-5,8,16,0,24,33.333,33.333
1,0.000,Eared Grebe,16-23,0,0,0,0,NaN,NaN
1,0.000,Eared Grebe,23-5,2,2,0,4,50.000,50.000
1,0.000,cougar,16-23,0,1,0,1,0.000,0.000
1,0.000,cougar,23-5,0,0,0,0,NaN,NaN
1,0.000,Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.000,Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.000,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.000,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000
1,0.000,Dog,16-23,97,72,0,169,57.396,57.396
1,0.000,Dog,23-5,156,133,0,289,53.979,53.979
1,0.000,Human,16-23,1727,366,0,2093,82.513,82.513
1,0.000,Human,23-5,2171,273,0,2444,88.830,88.830
1,0.000,Wild Turkey,16-23,18,56,0,74,24.324,24.324
1,0.000,Wild Turkey,23-5,14,66,0,80,17.500,17.500
1,0.000,Clark Grebe,16-23,0,0,0,0,NaN,NaN
1,0.000,Clark Grebe,23-5,2,4,0,6,33.333,33.333
1,0.000,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.000,Seagull,23-5,33,9,0,42,78.571,78.571
1,0.000,Surf Scoter,16-23,0,0,0,0,NaN,NaN
1,0.000,Surf Scoter,23-5,2,3,0,5,40.000,40.000
1,0.000,Pigeon,16-23,132,198,0,330,40.000,40.000
1,0.000,Pigeon,23-5,150,374,0,524,28.626,28.626
1,0.000,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.000,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.000,Cat,16-23,41,28,0,69,59.420,59.420
1,0.000,Cat,23-5,39,37,0,76,51.316,51.316
1,0.000,Horse,16-23,21,42,0,63,33.333,33.333
1,0.000,Horse,23-5,51,238,0,289,17.647,17.647
1,0.000,orangutan,16-23,0,0,0,0,NaN,NaN
1,0.000,orangutan,23-5,0,4,0,4,0.000,0.000
1,0.000,Bat,16-23,36,7,0,43,83.721,83.721
1,0.000,Bat,23-5,37,23,0,60,61.667,61.667
1,0.000,Deer,16-23,17,13,0,30,56.667,56.667
1,0.000,Deer,23-5,18,46,0,64,28.125,28.125
1,0.000,Great Horned Owl,16-23,0,2,0,2,0.000,0.000
1,0.000,Great Horned Owl,23-5,1,9,0,10,10.000,10.000
1,0.000,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN
1,0.000,Freshwater Lagoon,23-5,0,0,0,0,NaN,NaN
1,0.000,Unknown Avian,16-23,0,2,0,2,0.000,0.000
1,0.000,Unknown Avian,23-5,0,2,0,2,0.000,0.000
1,0.000,Human UTI,16-23,115,88,0,203,56.650,56.650
1,0.000,Human UTI,23-5,129,82,0,211,61.137,61.137
1,0.000,unknown,16-23,6,8,0,14,42.857,42.857
1,0.000,unknown,23-5,8,13,0,21,38.095,38.095
1,0.000,SLO Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.000,SLO Creek Water,23-5,6,1,0,7,85.714,85.714
1,0.000,Pig/Swine,16-23,14,12,0,26,53.846,53.846
1,0.000,Pig/Swine,23-5,12,9,0,21,57.143,57.143
1,0.000,Klebsiella,16-23,0,0,0,0,NaN,NaN
1,0.000,Klebsiella,23-5,0,0,0,0,NaN,NaN
1,0.000,Hu Cw and Dg,16-23,12,17,0,29,41.379,41.379
1,0.000,Hu Cw and Dg,23-5,21,20,0,41,51.220,51.220
1,0.000,Ground Squirrel,16-23,114,78,0,192,59.375,59.375
1,0.000,Ground Squirrel,23-5,116,84,0,200,58.000,58.000
1,0.000,Opossum,16-23,4,1,0,5,80.000,80.000
1,0.000,Opossum,23-5,5,8,0,13,38.462,38.462
1,0.000,Cow,16-23,1573,864,0,2437,64.547,64.547
1,0.000,Cow,23-5,1545,1045,0,2590,59.653,59.653
1,0.000,Deer Mouse,16-23,0,5,0,5,0.000,0.000
1,0.000,Deer Mouse,23-5,0,0,0,0,NaN,NaN
1,0.000,OVERALL,16-23,4196,2152,0,6348,66.100,66.100
1,0.000,OVERALL,23-5,4816,2794,0,7610,63.285,63.285
1,0.500,Chicken,16-23,22,29,0,51,43.137,43.137
1,0.500,Chicken,23-5,28,11,0,39,71.795,71.795
1,0.500,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.500,Sea Lion,23-5,4,3,0,7,57.143,57.143
1,0.500,Hu and Cw,16-23,15,26,0,41,36.585,36.585
1,0.500,Hu and Cw,23-5,15,33,0,48,31.250,31.250
1,0.500,Sheep,16-23,78,64,0,142,54.930,54.930
1,0.500,Sheep,23-5,78,32,0,110,70.909,70.909
1,0.500,Hu and Dg,16-23,16,24,0,40,40.000,40.000
1,0.500,Hu and Dg,23-5,20,15,0,35,57.143,57.143
1,0.500,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.500,Common Loon,23-5,0,4,0,4,0.000,0.000
1,0.500,Red-Winged Blackbird,16-23,2,5,0,7,28.571,28.571
1,0.500,Red-Winged Blackbird,23-5,2,4,0,6,33.333,33.333
1,0.500,Cw,16-23,17,25,0,42,40.476,40.476
1,0.500,Cw,23-5,31,55,0,86,36.047,36.047
1,0.500,Cliff Sparrow,16-23,16,29,0,45,35.556,35.556
1,0.500,Cliff Sparrow,23-5,10,34,0,44,22.727,22.727
1,0.500,Pig,16-23,23,16,0,39,58.974,58.974
1,0.500,Pig,23-5,20,18,0,38,52.632,52.632
1,0.500,Barn Owl,16-23,0,0,0,0,NaN,NaN
1,0.500,Barn Owl,23-5,2,6,0,8,25.000,25.000
1,0.500,Wild Pig,16-23,5,8,0,13,38.462,38.462
1,0.500,Wild Pig,23-5,7,6,0,13,53.846,53.846
1,0.500,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.500,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN
1,0.500,Guinni,16-23,0,0,0,0,NaN,NaN
1,0.500,Guinni,23-5,0,2,0,2,0.000,0.000
1,0.500,Racoon,16-23,2,3,0,5,40.000,40.000
1,0.500,Racoon,23-5,0,4,0,4,0.000,0.000
1,0.500,Hu,16-23,27,9,0,36,75.000,75.000
1,0.500,Hu,23-5,25,13,0,38,65.789,65.789
1,0.500,Cw and Dg,16-23,15,21,0,36,41.667,41.667
1,0.500,Cw and Dg,23-5,19,29,0,48,39.583,39.583
1,0.500,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN
1,0.500,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000
1,0.500,Tree Swallow,16-23,2,6,0,8,25.000,25.000
1,0.500,Tree Swallow,23-5,2,1,0,3,66.667,66.667
1,0.500,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
1,0.500,Turkey Vulture,23-5,0,2,0,2,0.000,0.000
1,0.500,Dg,16-23,11,16,0,27,40.741,40.741
1,0.500,Dg,23-5,27,10,0,37,72.973,72.973
1,0.500,Western Kingbird,16-23,0,3,0,3,0.000,0.000
1,0.500,Western Kingbird,23-5,0,0,0,0,NaN,NaN
1,0.500,White Crowned Sparrow,16-23,13,5,0,18,72.222,72.222
1,0.500,White Crowned Sparrow,23-5,8,16,0,24,33.333,33.333
1,0.500,Eared Grebe,16-23,0,0,0,0,NaN,NaN
1,0.500,Eared Grebe,23-5,2,2,0,4,50.000,50.000
1,0.500,cougar,16-23,0,1,0,1,0.000,0.000
1,0.500,cougar,23-5,0,0,0,0,NaN,NaN
1,0.500,Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.500,Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.500,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.500,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000
1,0.500,Dog,16-23,97,72,0,169,57.396,57.396
1,0.500,Dog,23-5,156,133,0,289,53.979,53.979
1,0.500,Human,16-23,1727,366,0,2093,82.513,82.513
1,0.500,Human,23-5,2171,273,0,2444,88.830,88.830
1,0.500,Wild Turkey,16-23,18,56,0,74,24.324,24.324
1,0.500,Wild Turkey,23-5,14,66,0,80,17.500,17.500
1,0.500,Clark Grebe,16-23,0,0,0,0,NaN,NaN
1,0.500,Clark Grebe,23-5,2,4,0,6,33.333,33.333
1,0.500,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.500,Seagull,23-5,33,9,0,42,78.571,78.571
1,0.500,Surf Scoter,16-23,0,0,0,0,NaN,NaN
1,0.500,Surf Scoter,23-5,2,3,0,5,40.000,40.000
1,0.500,Pigeon,16-23,132,198,0,330,40.000,40.000
1,0.500,Pigeon,23-5,150,374,0,524,28.626,28.626
1,0.500,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.500,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.500,Cat,16-23,41,28,0,69,59.420,59.420
1,0.500,Cat,23-5,39,37,0,76,51.316,51.316
1,0.500,Horse,16-23,21,42,0,63,33.333,33.333
1,0.500,Horse,23-5,51,238,0,289,17.647,17.647
1,0.500,orangutan,16-23,0,0,0,0,NaN,NaN
1,0.500,orangutan,23-5,0,4,0,4,0.000,0.000
1,0.500,Bat,16-23,36,7,0,43,83.721,83.721
1,0.500,Bat,23-5,37,23,0,60,61.667,61.667
1,0.500,Deer,16-23,17,13,0,30,56.667,56.667
1,0.500,Deer,23-5,18,46,0,64,28.125,28.125
1,0.500,Great Horned Owl,16-23,0,2,0,2,0.000,0.000
1,0.500,Great Horned Owl,23-5,1,9,0,10,10.000,10.000
1,0.500,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN
1,0.500,Freshwater Lagoon,23-5,0,0,0,0,NaN,NaN
1,0.500,Unknown Avian,16-23,0,2,0,2,0.000,0.000
1,0.500,Unknown Avian,23-5,0,2,0,2,0.000,0.000
1,0.500,Human UTI,16-23,115,88,0,203,56.650,56.650
1,0.500,Human UTI,23-5,129,82,0,211,61.137,61.137
1,0.500,unknown,16-23,6,8,0,14,42.857,42.857
1,0.500,unknown,23-5,8,13,0,21,38.095,38.095
1,0.500,SLO Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.500,SLO Creek Water,23-5,6,1,0,7,85.714,85.714
1,0.500,Pig/Swine,16-23,14,12,0,26,53.846,53.846
1,0.500,Pig/Swine,23-5,12,9,0,21,57.143,57.143
1,0.500,Klebsiella,16-23,0,0,0,0,NaN,NaN
1,0.500,Klebsiella,23-5,0,0,0,0,NaN,NaN
1,0.500,Hu Cw and Dg,16-23,12,17,0,29,41.379,41.379
1,0.500,Hu Cw and Dg,23-5,21,20,0,41,51.220,51.220
1,0.500,Ground Squirrel,16-23,114,78,0,192,59.375,59.375
1,0.500,Ground Squirrel,23-5,116,84,0,200,58.000,58.000
1,0.500,Opossum,16-23,4,1,0,5,80.000,80.000
1,0.500,Opossum,23-5,5,8,0,13,38.462,38.462
1,0.500,Cow,16-23,1573,864,0,2437,64.547,64.547
1,0.500,Cow,23-5,1545,1045,0,2590,59.653,59.653
1,0.500,Deer Mouse,16-23,0,5,0,5,0.000,0.000
1,0.500,Deer Mouse,23-5,0,0,0,0,NaN,NaN
1,0.500,OVERALL,16-23,4196,2152,0,6348,66.100,66.100
1,0.500,OVERALL,23-5,4816,2794,0,7610,63.285,63.285
1,0.900,Chicken,16-23,22,29,0,51,43.137,43.137
1,0.900,Chicken,23-5,28,11,0,39,71.795,71.795
1,0.900,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.900,Sea Lion,23-5,4,3,0,7,57.143,57.143
1,0.900,Hu and Cw,16-23,15,26,0,41,36.585,36.585
1,0.900,Hu and Cw,23-5,15,33,0,48,31.250,31.250
1,0.900,Sheep,16-23,78,64,0,142,54.930,54.930
1,0.900,Sheep,23-5,78,32,0,110,70.909,70.909
1,0.900,Hu and Dg,16-23,16,24,0,40,40.000,40.000
1,0.900,Hu and Dg,23-5,20,15,0,35,57.143,57.143
1,0.900,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.900,Common Loon,23-5,0,4,0,4,0.000,0.000
1,0.900,Red-Winged Blackbird,16-23,2,5,0,7,28.571,28.571
1,0.900,Red-Winged Blackbird,23-5,2,4,0,6,33.333,33.333
1,0.900,Cw,16-23,17,25,0,42,40.476,40.476
1,0.900,Cw,23-5,31,55,0,86,36.047,36.047
1,0.900,Cliff Sparrow,16-23,16,29,0,45,35.556,35.556
1,0.900,Cliff Sparrow,23-5,10,34,0,44,22.727,22.727
1,0.900,Pig,16-23,23,16,0,39,58.974,58.974
1,0.900,Pig,23-5,20,18,0,38,52.632,52.632
1,0.900,Barn Owl,16-23,0,0,0,0,NaN,NaN
1,0.900,Barn Owl,23-5,2,6,0,8,25.000,25.000
1,0.900,Wild Pig,16-23,5,8,0,13,38.462,38.462
1,0.900,Wild Pig,23-5,7,6,0,13,53.846,53.846
1,0.900,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.900,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN
1,0.900,Guinni,16-23,0,0,0,0,NaN,NaN
1,0.900,Guinni,23-5,0,2,0,2,0.000,0.000
1,0.900,Racoon,16-23,2,3,0,5,40.000,40.000
1,0.900,Racoon,23-5,0,4,0,4,0.000,0.000
1,0.900,Hu,16-23,27,9,0,36,75.000,75.000
1,0.900,Hu,23-5,25,13,0,38,65.789,65.789
1,0.900,Cw and Dg,16-23,15,21,0,36,41.667,41.667
1,0.900,Cw and Dg,23-5,19,29,0,48,39.583,39.583
1,0.900,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN
1,0.900,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000
1,0.900,Tree Swallow,16-23,2,6,0,8,25.000,25.000
1,0.900,Tree Swallow,23-5,2,1,0,3,66.667,66.667
1,0.900,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
1,0.900,Turkey Vulture,23-5,0,2,0,2,0.000,0.000
1,0.900,Dg,16-23,11,16,0,27,40.741,40.741
1,0.900,Dg,23-5,27,10,0,37,72.973,72.973
1,0.900,Western Kingbird,16-23,0,3,0,3,0.000,0.000
1,0.900,Western Kingbird,23-5,0,0,0,0,NaN,NaN
1,0.900,White Crowned Sparrow,16-23,13,5,0,18,72.222,72.222
1,0.900,White Crowned Sparrow,23-5,8,16,0,24,33.333,33.333
1,0.900,Eared Grebe,16-23,0,0,0,0,NaN,NaN
1,0.900,Eared Grebe,23-5,2,2,0,4,50.000,50.000
1,0.900,cougar,16-23,0,1,0,1,0.000,0.000
1,0.900,cougar,23-5,0,0,0,0,NaN,NaN
1,0.900,Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.900,Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.900,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.900,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000
1,0.900,Dog,16-23,97,72,0,169,57.396,57.396
1,0.900,Dog,23-5,156,131,0,287,54.355,54.355
1,0.900,Human,16-23,1727,364,0,2091,82.592,82.592
1,0.900,Human,23-5,2171,271,0,2442,88.903,88.903
1,0.900,Wild Turkey,16-23,18,56,0,74,24.324,24.324
1,0.900,Wild Turkey,23-5,14,66,0,80,17.500,17.500
1,0.900,Clark Grebe,16-23,0,0,0,0,NaN,NaN
1,0.900,Clark Grebe,23-5,2,3,0,5,40.000,40.000
1,0.900,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.900,Seagull,23-5,33,9,0,42,78.571,78.571
1,0.900,Surf Scoter,16-23,0,0,0,0,NaN,NaN
1,0.900,Surf Scoter,23-5,2,3,0,5,40.000,40.000
1,0.900,Pigeon,16-23,132,198,0,330,40.000,40.000
1,0.900,Pigeon,23-5,150,374,0,524,28.626,28.626
1,0.900,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.900,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.900,Cat,16-23,41,28,0,69,59.420,59.420
1,0.900,Cat,23-5,39,37,0,76,51.316,51.316
1,0.900,Horse,16-23,21,42,0,63,33.333,33.333
1,0.900,Horse,23-5,51,238,0,289,17.647,17.647
1,0.900,orangutan,16-23,0,0,0,0,NaN,NaN
1,0.900,orangutan,23-5,0,4,0,4,0.000,0.000
1,0.900,Bat,16-23,36,7,0,43,83.721,83.721
1,0.900,Bat,23-5,37,23,0,60,61.667,61.667
1,0.900,Deer,16-23,17,13,0,30,56.667,56.667
1,0.900,Deer,23-5,18,46,0,64,28.125,28.125
1,0.900,Great Horned Owl,16-23,0,2,0,2,0.000,0.000
1,0.900,Great Horned Owl,23-5,1,9,0,10,10.000,10.000
1,0.900,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN
1,0.900,Freshwater Lagoon,23-5,0,0,0,0,NaN,NaN
1,0.900,Unknown Avian,16-23,0,2,0,2,0.000,0.000
1,0.900,Unknown Avian,23-5,0,2,0,2,0.000,0.000
1,0.900,Human UTI,16-23,115,88,0,203,56.650,56.650
1,0.900,Human UTI,23-5,129,82,0,211,61.137,61.137
1,0.900,unknown,16-23,6,8,0,14,42.857,42.857
1,0.900,unknown,23-5,8,13,0,21,38.095,38.095
1,0.900,SLO Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.900,SLO Creek Water,23-5,6,1,0,7,85.714,85.714
1,0.900,Pig/Swine,16-23,14,12,0,26,53.846,53.846
1,0.900,Pig/Swine,23-5,12,9,0,21,57.143,57.143
1,0.900,Klebsiella,16-23,0,0,0,0,NaN,NaN
1,0.900,Klebsiella,23-5,0,0,0,0,NaN,NaN
1,0.900,Hu Cw and Dg,16-23,12,17,0,29,41.379,41.379
1,0.900,Hu Cw and Dg,23-5,21,20,0,41,51.220,51.220
1,0.900,Ground Squirrel,16-23,114,78,0,192,59.375,59.375
1,0.900,Ground Squirrel,23-5,116,84,0,200,58.000,58.000
1,0.900,Opossum,16-23,4,1,0,5,80.000,80.000
1,0.900,Opossum,23-5,5,8,0,13,38.462,38.462
1,0.900,Cow,16-23,1573,862,0,2435,64.600,64.600
1,0.900,Cow,23-5,1545,1042,0,2587,59.722,59.722
1,0.900,Deer Mouse,16-23,0,5,0,5,0.000,0.000
1,0.900,Deer Mouse,23-5,0,0,0,0,NaN,NaN
1,0.900,OVERALL,16-23,4196,2148,0,6344,66.141,66.141
1,0.900,OVERALL,23-5,4816,2786,0,7602,63.352,63.352
1,0.950,Chicken,16-23,22,29,0,51,43.137,43.137
1,0.950,Chicken,23-5,28,11,0,39,71.795,71.795
1,0.950,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.950,Sea Lion,23-5,4,3,0,7,57.143,57.143
1,0.950,Hu and Cw,16-23,15,26,0,41,36.585,36.585
1,0.950,Hu and Cw,23-5,15,33,0,48,31.250,31.250
1,0.950,Sheep,16-23,78,64,0,142,54.930,54.930
1,0.950,Sheep,23-5,78,32,0,110,70.909,70.909
1,0.950,Hu and Dg,16-23,16,24,0,40,40.000,40.000
1,0.950,Hu and Dg,23-5,20,15,0,35,57.143,57.143
1,0.950,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.950,Common Loon,23-5,0,4,0,4,0.000,0.000
1,0.950,Red-Winged Blackbird,16-23,2,5,0,7,28.571,28.571
1,0.950,Red-Winged Blackbird,23-5,2,4,0,6,33.333,33.333
1,0.950,Cw,16-23,17,25,0,42,40.476,40.476
1,0.950,Cw,23-5,31,55,0,86,36.047,36.047
1,0.950,Cliff Sparrow,16-23,16,29,0,45,35.556,35.556
1,0.950,Cliff Sparrow,23-5,10,34,0,44,22.727,22.727
1,0.950,Pig,16-23,23,16,0,39,58.974,58.974
1,0.950,Pig,23-5,20,18,0,38,52.632,52.632
1,0.950,Barn Owl,16-23,0,0,0,0,NaN,NaN
1,0.950,Barn Owl,23-5,2,6,0,8,25.000,25.000
1,0.950,Wild Pig,16-23,5,8,0,13,38.462,38.462
1,0.950,Wild Pig,23-5,7,5,0,12,58.333,58.333
1,0.950,Pennington Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.950,Pennington Creek Water,23-5,0,0,0,0,NaN,NaN
1,0.950,Guinni,16-23,0,0,0,0,NaN,NaN
1,0.950,Guinni,23-5,0,2,0,2,0.000,0.000
1,0.950,Racoon,16-23,2,3,0,5,40.000,40.000
1,0.950,Racoon,23-5,0,4,0,4,0.000,0.000
1,0.950,Hu,16-23,27,9,0,36,75.000,75.000
1,0.950,Hu,23-5,25,13,0,38,65.789,65.789
1,0.950,Cw and Dg,16-23,15,21,0,36,41.667,41.667
1,0.950,Cw and Dg,23-5,18,29,0,47,38.298,38.298
1,0.950,Red Wind Blackbird,16-23,0,0,0,0,NaN,NaN
1,0.950,Red Wind Blackbird,23-5,0,1,0,1,0.000,0.000
1,0.950,Tree Swallow,16-23,2,6,0,8,25.000,25.000
1,0.950,Tree Swallow,23-5,2,1,0,3,66.667,66.667
1,0.950,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
1,0.950,Turkey Vulture,23-5,0,2,0,2,0.000,0.000
1,0.950,Dg,16-23,11,16,0,27,40.741,40.741
1,0.950,Dg,23-5,27,10,0,37,72.973,72.973
1,0.950,Western Kingbird,16-23,0,3,0,3,0.000,0.000
1,0.950,Western Kingbird,23-5,0,0,0,0,NaN,NaN
1,0.950,White Crowned Sparrow,16-23,13,5,0,18,72.222,72.222
1,0.950,White Crowned Sparrow,23-5,8,16,0,24,33.333,33.333
1,0.950,Eared Grebe,16-23,0,0,0,0,NaN,NaN
1,0.950,Eared Grebe,23-5,2,2,0,4,50.000,50.000
1,0.950,cougar,16-23,0,1,0,1,0.000,0.000
1,0.950,cougar,23-5,0,0,0,0,NaN,NaN
1,0.950,Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.950,Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.950,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.950,Red Tailed Hawk,23-5,0,10,0,10,0.000,0.000
1,0.950,Dog,16-23,97,72,0,169,57.396,57.396
1,0.950,Dog,23-5,156,131,0,287,54.355,54.355
1,0.950,Human,16-23,1727,362,0,2089,82.671,82.671
1,0.950,Human,23-5,2171,268,0,2439,89.012,89.012
1,0.950,Wild Turkey,16-23,18,56,0,74,24.324,24.324
1,0.950,Wild Turkey,23-5,14,66,0,80,17.500,17.500
1,0.950,Clark Grebe,16-23,0,0,0,0,NaN,NaN
1,0.950,Clark Grebe,23-5,2,3,0,5,40.000,40.000
1,0.950,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.950,Seagull,23-5,33,8,0,41,80.488,80.488
1,0.950,Surf Scoter,16-23,0,0,0,0,NaN,NaN
1,0.950,Surf Scoter,23-5,2,0,0,2,100.000,100.000
1,0.950,Pigeon,16-23,132,198,0,330,40.000,40.000
1,0.950,Pigeon,23-5,150,374,0,524,28.626,28.626
1,0.950,Pacific Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.950,Pacific Ocean Water,23-5,0,0,0,0,NaN,NaN
1,0.950,Cat,16-23,41,28,0,69,59.420,59.420
1,0.950,Cat,23-5,39,37,0,76,51.316,51.316
1,0.950,Horse,16-23,21,42,0,63,33.333,33.333
1,0.950,Horse,23-5,51,238,0,289,17.647,17.647
1,0.950,orangutan,16-23,0,0,0,0,NaN,NaN
1,0.950,orangutan,23-5,0,4,0,4,0.000,0.000
1,0.950,Bat,16-23,36,7,0,43,83.721,83.721
1,0.950,Bat,23-5,37,20,0,57,64.912,64.912
1,0.950,Deer,16-23,17,13,0,30,56.667,56.667
1,0.950,Deer,23-5,18,46,0,64,28.125,28.125
1,0.950,Great Horned Owl,16-23,0,2,0,2,0.000,0.000
1,0.950,Great Horned Owl,23-5,1,9,0,10,10.000,10.000
1,0.950,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN
1,0.950,Freshwater Lagoon,23-5,0,0,0,0,NaN,NaN
1,0.950,Unknown Avian,16-23,0,2,0,2,0.000,0.000
1,0.950,Unknown Avian,23-5,0,2,0,2,0.000,0.000
1,0.950,Human UTI,16-23,115,88,0,203,56.650,56.650
1,0.950,Human UTI,23-5,128,82,0,210,60.952,60.952
1,0.950,unknown,16-23,6,8,0,14,42.857,42.857
1,0.950,unknown,23-5,8,13,0,21,38.095,38.095
1,0.950,SLO Creek Water,16-23,0,0,0,0,NaN,NaN
1,0.950,SLO Creek Water,23-5,6,1,0,7,85.714,85.714
1,0.950,Pig/Swine,16-23,14,12,0,26,53.846,53.846
1,0.950,Pig/Swine,23-5,12,8,0,20,60.000,60.000
1,0.950,Klebsiella,16-23,0,0,0,0,NaN,NaN
1,0.950,Klebsiella,23-5,0,0,0,0,NaN,NaN
1,0.950,Hu Cw and Dg,16-23,12,17,0,29,41.379,41.379
